state,date,abs,rate
Johor,2022-01-01,25305,6.3
Kedah,2022-01-01,17628,8.1
Kelantan,2022-01-01,13445,7.3
Melaka,2022-01-01,6630,6.6
Pahang,2022-01-01,8636,7.1
Negeri Sembilan,2022-01-01,11022,6.8
Perak,2022-01-01,22341,8.9
Perlis,2022-01-01,2422,8.4
Pulau Pinang,2022-01-01,12920,7.4
Sabah,2022-01-01,17395,5.1
Sarawak,2022-01-01,16627,6.7
Selangor,2022-01-01,32861,4.7
Terengganu,2022-01-01,8686,7.3
W.P. Kuala Lumpur,2022-01-01,9962,5.1
W.P. Labuan,2022-01-01,392,4
W.P. Putrajaya,2022-01-01,253,2.2
